Date	Time	Open	High	Low	Close	Volume	Spread
2019.01.02	00:00:00	1.27459	1.27459	1.27392	1.27392	3	76
2019.01.02	00:30:00	1.27392	1.2741	1.27319	1.27409	43	60
2019.01.02	01:00:00	1.2741	1.27537	1.27385	1.27475	772	13
2019.01.02	01:30:00	1.27475	1.27528	1.27464	1.27506	307	10
2019.01.02	02:00:00	1.27507	1.27508	1.27452	1.27468	1053	5
2019.01.02	02:30:00	1.27468	1.27485	1.27445	1.27476	1063	11
2019.01.02	03:00:00	1.2748	1.27481	1.27418	1.27443	764	1
2019.01.02	03:30:00	1.27443	1.27473	1.27408	1.27418	821	6
2019.01.02	04:00:00	1.27418	1.27433	1.27349	1.27364	865	0
2019.01.02	04:30:00	1.27366	1.27382	1.27223	1.27274	945	6
2019.01.02	05:00:00	1.27274	1.27302	1.27263	1.27295	546	8
2019.01.02	05:30:00	1.27296	1.27299	1.27253	1.27298	517	4
2019.01.02	06:00:00	1.27297	1.27318	1.27281	1.27317	578	7
2019.01.02	06:30:00	1.27317	1.27345	1.27299	1.27336	662	10
2019.01.02	07:00:00	1.27335	1.27427	1.2732	1.27418	788	6
2019.01.02	07:30:00	1.27418	1.27569	1.27401	1.27557	996	7
2019.01.02	08:00:00	1.27556	1.27722	1.27554	1.27666	1538	6
2019.01.02	08:30:00	1.27665	1.27672	1.27513	1.27531	1164	6
2019.01.02	09:00:00	1.27531	1.27624	1.27499	1.27524	1528	5
2019.01.02	09:30:00	1.27525	1.2756	1.27465	1.27491	1667	4
2019.01.02	10:00:00	1.27494	1.27596	1.27215	1.27217	3679	1
2019.01.02	10:30:00	1.27219	1.2722	1.26947	1.27088	3816	5
2019.01.02	11:00:00	1.27092	1.27188	1.26912	1.26923	2531	2
2019.01.02	11:30:00	1.26924	1.27167	1.26868	1.26894	2919	5
2019.01.02	12:00:00	1.26894	1.27023	1.26831	1.26882	2589	0
2019.01.02	12:30:00	1.26881	1.2692	1.26704	1.26713	2241	0
2019.01.02	13:00:00	1.26714	1.2674	1.26592	1.26676	2670	4
2019.01.02	13:30:00	1.26677	1.26735	1.26597	1.2663	3387	5
2019.01.02	14:00:00	1.2663	1.26649	1.26446	1.26467	2946	5
2019.01.02	14:30:00	1.26466	1.26542	1.26442	1.26486	2620	1
2019.01.02	15:00:00	1.26486	1.26545	1.26253	1.26282	3590	0
